Agency,Docket,Comments,Any Resources Measure,Percent,FDIC Assets,501c3 Assets,Assets (Credit Unions),501c3 Revenue,Market Cap,marketcap2,MeanLobbyingAmount,TotalLobbyingAmount,Campaign Donations,TotalContribAmount,MeanContribAmountPerYearContributed
SEC,S7-28-10,2,2,100%,0,2,0,2,0,0,1,1,1,1,1
SEC,S7-30-10,22,9,41%,0,9,0,9,0,0,3,3,3,3,3
SEC,S7-30-11,18,6,33%,0,6,0,6,0,0,2,2,2,2,2
SEC,S7-31-10,58,19,33%,0,19,0,19,0,0,10,10,10,10,10
SEC,S7-32-10,54,13,24%,2,13,0,13,1,1,6,6,6,6,6
SEC,S7-33-10,212,58,27%,2,57,0,57,1,1,28,28,28,28,28
SEC,S7-34-10,119,47,39%,0,47,0,47,0,0,18,18,18,18,18
SEC,S7-35-10,32,20,62%,0,20,0,20,0,0,10,10,10,10,10
SEC,S7-35-11,151,50,33%,1,50,0,50,0,0,25,25,25,25,25
SEC,S7-36-10,67,20,30%,0,20,0,20,0,0,12,12,12,12,12
SEC,S7-37-10,106,36,34%,1,36,0,36,0,0,27,27,27,27,27
SEC,S7-38-11,31,12,39%,0,12,0,12,0,0,5,5,5,5,5
SEC,S7-39-10,72,31,43%,1,31,0,31,1,1,20,20,20,20,20
SEC,S7-40-10,332,102,31%,1,101,0,101,1,1,51,51,51,51,51
SEC,S7-40-11,40,14,35%,0,14,0,14,0,0,7,7,7,7,7
SEC,S7-41-10,29,10,34%,0,10,0,10,0,0,8,8,8,8,8
SEC,S7-41-11,419,129,31%,8,126,3,126,0,0,85,85,85,85,85
SEC,S7-42-10,275,52,19%,2,52,1,52,1,1,27,27,27,27,27
SEC,S7-43-10,18,7,39%,0,7,0,7,0,0,5,5,5,5,5
SEC,S7-44-10,15,5,33%,0,5,0,5,0,0,4,4,4,4,4
SEC,S7-45-10,714,279,39%,3,277,1,277,3,3,141,141,141,141,141
SEC,s7-08-13,47,23,49%,0,22,0,22,1,1,11,11,11,11,11
